analysis	species	model	n_pos	n_neg	roc_auc	roc_ci_cluster	d_roc	n	seq_roc	seqemb_roc	d_roc_ci_cluster	emb_auc	emb_ci	nt_auc	nt_ci	delta	delta_ci	emb_top1	nt_top1	emb_mrr	nt_mrr
B1_alone	mouse	emb_sw_alone	200.0	39800.0	0.9029	[0.8865,0.9185]															
B1_alone	mouse	nt_sw_alone	200.0	39800.0	0.844	[0.8139,0.8760]															
B1_alone	mouse	nt_ident_alone	200.0	39800.0	0.8278	[0.7947,0.8602]															
B1_alone_delta	mouse	emb - nt_sw				[0.0307,0.0866]	0.0589														
B1_fitted	mouse	seq_vs_seq+emb					0.038	3200.0	0.8971	0.9352	[0.0216,0.0559]										
B3	mouse	bottom_quartile_sw_norm						50.0				0.798	[0.7659, 0.8301]	0.6145	[0.5535, 0.6775]	0.1835	[0.1189, 0.2494]				
B3	mouse	aligned_ident_below_0.5						13.0				0.7575	[0.6789, 0.8289]	0.5437	[0.4215, 0.6612]	0.2139	[0.0628, 0.3576]				
B2	mouse	within_locus_ranking_multicand						87.0										0.31	0.184	0.578	0.472
B1_alone	cow	emb_sw_alone	200.0	39800.0	0.9091	[0.8920,0.9241]															
B1_alone	cow	nt_sw_alone	200.0	39800.0	0.868	[0.8362,0.8969]															
B1_alone	cow	nt_ident_alone	200.0	39800.0	0.8476	[0.8127,0.8787]															
B1_alone_delta	cow	emb - nt_sw				[0.0142,0.0695]	0.0411														
B1_fitted	cow	seq_vs_seq+emb					0.0397	3200.0	0.912	0.9517	[0.0261,0.0553]										
B3	cow	bottom_quartile_sw_norm						50.0				0.7958	[0.7618, 0.8292]	0.616	[0.5515, 0.6783]	0.1798	[0.1101, 0.254]				
B3	cow	aligned_ident_below_0.5						11.0				0.8146	[0.7652, 0.8644]	0.4329	[0.3563, 0.5054]	0.3816	[0.2816, 0.4844]				
B2	cow	within_locus_ranking_multicand						86.0										0.244	0.116	0.531	0.444
