ncand,n_far,is_top1,beats_far,pct_far,margin_far,displacement,d_assigned,L,locus_len,chance,pair
10,5,False,True,0.0,0.0724070897762496,50.0,0.028945796089185606,248,1358,0.16666666666666666,hg38_vs_bosTau9
14,9,False,True,0.0,0.053212486792751104,1.0,0.0348504852333658,168,1231,0.1,hg38_vs_bosTau9
67,62,False,True,0.0,0.0008232547289048833,176.0,0.02277816723808131,208,6998,0.015873015873015872,hg38_vs_bosTau9
18,13,False,False,0.23076923076923078,-0.016877834923702477,256.0,0.05224626661423242,168,1531,0.07142857142857142,hg38_vs_bosTau9
12,7,True,True,0.0,0.062103256599328874,0.0,0.0718886450941366,328,2049,0.125,hg38_vs_bosTau9
9,4,False,False,0.25,-0.00768123021957208,257.0,0.058716467469663566,288,1297,0.2,hg38_vs_bosTau9
46,41,False,False,0.2926829268292683,-0.015970235105964604,3736.0,0.050626553592922945,288,6750,0.023809523809523808,hg38_vs_bosTau9
32,27,False,False,0.07407407407407407,-0.023985390904180993,328.0,0.04094766859860486,248,4004,0.03571428571428571,hg38_vs_bosTau9
19,14,False,True,0.0,0.031044059501189696,120.0,0.026196568257952507,368,3605,0.06666666666666667,hg38_vs_bosTau9
31,26,False,False,0.038461538461538464,-0.03126818116841294,472.0,0.08759628219466284,608,9476,0.037037037037037035,hg38_vs_bosTau9
6,1,True,True,0.0,0.08701359015591877,0.0,0.020674333272690013,488,1699,0.5,hg38_vs_bosTau9
7,2,False,True,0.0,0.22920133943342272,38.0,0.05029302527007177,288,1138,0.3333333333333333,hg38_vs_bosTau9
12,7,False,True,0.0,0.0008064023399027564,41.0,0.05107293682455967,568,3551,0.125,hg38_vs_bosTau9
19,14,False,True,0.0,0.026900360728763034,151.0,0.07183372963559256,328,3145,0.06666666666666667,hg38_vs_bosTau9
13,8,False,False,0.125,-0.028391841486750252,488.0,0.04320034818234119,688,4731,0.1111111111111111,hg38_vs_bosTau9
13,8,False,True,0.0,0.2057941490817341,64.0,0.07373684377174496,168,1133,0.1111111111111111,hg38_vs_bosTau9
27,22,False,False,0.09090909090909091,-0.012231889715959076,524.0,0.029485258611871606,328,4463,0.043478260869565216,hg38_vs_bosTau9
30,25,False,False,0.84,-0.1519995447317481,386.0,0.1947654274556544,288,4386,0.038461538461538464,hg38_vs_bosTau9
11,6,False,False,0.5,-0.07325920082293469,484.0,0.08558596033619195,448,2636,0.14285714285714285,hg38_vs_bosTau9
33,28,False,True,0.0,0.041463277762662745,60.0,0.08108704669535217,168,2815,0.034482758620689655,hg38_vs_bosTau9
9,4,False,True,0.0,0.08516610811743514,61.0,0.07501401240983704,488,2201,0.2,hg38_vs_bosTau9
11,6,False,True,0.0,0.00014895251388007125,29.0,0.05356611864753049,328,1931,0.14285714285714285,hg38_vs_bosTau9
13,8,False,True,0.0,0.03523559073657555,64.0,0.04180993037402872,208,1414,0.1111111111111111,hg38_vs_bosTau9
7,2,True,True,0.0,0.08417090680662458,0.0,0.029736917939325733,408,1570,0.3333333333333333,hg38_vs_bosTau9
11,6,False,False,0.3333333333333333,-0.021418581607052865,282.0,0.04271559043091946,208,1210,0.14285714285714285,hg38_vs_bosTau9
10,5,True,True,0.0,0.0668082300866206,0.0,0.03832631161055453,488,2447,0.16666666666666666,hg38_vs_bosTau9
8,3,False,True,0.0,0.06291168640255324,102.0,0.014403881367417486,448,1966,0.25,hg38_vs_bosTau9
