gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R0	Q4	match	chr11	2147317	2147811	494	chr7	142220909	142221061	152	1	0.1168	160	264	48	152	0.1168
U_ENSG00000099869.8	R0	Q5	match	chr11	2147317	2147811	494	chr7	142221101	142221973	872	1	0.0768	164	488	420	804	0.0768
U_ENSG00000099869.8	R1	Q6	match	chr11	2147851	2148179	328	chr7	142222109	142222405	296	1	0.0647	20	328	0	296	0.0647
U_ENSG00000099869.8	R2	Q7	match	chr11	2148203	2148643	440	chr7	142222541	142222709	168	1	0.0987	136	292	0	168	0.0987
U_ENSG00000103472.11	R0	Q1	match	chr16	29139458	29139546	88	chr8	122770211	122770523	312	1	0.0365	0	88	16	112	0.0365
U_ENSG00000103472.11	R2	Q3	match	chr16	29251478	29251689	211	chr8	122855628	122855780	152	1	0.1102	80	184	0	104	0.1102
U_ENSG00000103472.11	R3	Q6	match	chr16	29312349	29312583	234	chr8	122856380	122856644	264	1	0.0768	124	232	64	172	0.0768
U_ENSG00000103472.11	R4	Q7	match	chr16	29326346	29326483	137	chr8	122887386	122887506	120	1	0.1220	0	96	0	96	0.1220
U_ENSG00000105501.13	R1	Q21	match	chr19	51630298	51630430	132	chr7	43000919	43001071	152	1	0.0808	0	124	12	136	0.0808
U_ENSG00000116652.7	R0	Q1	match	chr1	63548089	63548241	152	chr4	99753229	99753365	136	1	0.0767	20	148	8	136	0.0767
U_ENSG00000117242.7	R1	Q17	match	chr1	20642998	20643102	104	chr4	138045969	138046665	696	1	0.0237	0	104	228	336	0.0237
U_ENSG00000117242.7	R10	Q2	match	chr1	20651677	20651765	88	chr4	138040050	138040218	168	1	0.1195	0	88	56	152	0.1195
U_ENSG00000117242.7	R2	Q12	match	chr1	20645584	20645684	100	chr4	138044500	138044668	168	1	0.1422	0	96	12	108	0.1422
U_ENSG00000117242.7	R4	Q10	match	chr1	20648749	20649077	328	chr4	138043234	138043530	296	1	0.0742	0	176	20	212	0.0742
U_ENSG00000117242.7	R5	Q8	match	chr1	20649117	20649253	136	chr4	138042642	138042954	312	1	0.0264	0	136	152	304	0.0264
U_ENSG00000117242.7	R7	Q7	match	chr1	20650189	20650293	104	chr4	138041922	138042154	232	1	0.0395	4	104	100	200	0.0395
U_ENSG00000117242.7	R8	Q5	match	chr1	20650605	20650741	136	chr4	138041202	138041466	264	1	0.0270	0	136	4	152	0.0270
U_ENSG00000122043.13	R0	Q4	match	chr13	29947602	29947771	169	chr5	148586049	148586185	136	1	0.0871	16	160	0	136	0.0871
U_ENSG00000122043.13	R0	Q7	match	chr13	29947602	29947771	169	chr5	148587873	148587977	104	1	0.0348	40	144	0	104	0.0348
U_ENSG00000122043.13	R1	Q11	match	chr13	29963239	29963374	135	chr5	148607569	148607865	296	1	0.0656	0	132	148	272	0.0656
U_ENSG00000122548.6	R1	Q0	match	chr7	26534756	26534940	184	chr6	51721093	51721229	136	1	0.1036	0	112	0	112	0.1036
U_ENSG00000122548.6	R2	Q1	match	chr7	26535268	26535388	120	chr6	51721765	51721837	72	1	0.1055	0	96	0	72	0.1055
U_ENSG00000124835.2	R2	Q5	match	chr2	237055426	237055594	168	chr1	90511513	90511649	136	1	0.0495	44	160	0	116	0.0495
U_ENSG00000124915.11	R0	Q17	match	chr11	61746492	61746805	313	chr19	10222823	10223199	376	1	0.1052	0	312	0	292	0.1052
U_ENSG00000124915.11	R1	Q15	match	chr11	61747384	61747463	79	chr19	10222151	10222303	152	1	0.1408	0	79	0	96	0.1408
U_ENSG00000124915.11	R2	Q13	match	chr11	61748542	61749368	826	chr19	10221255	10221439	184	1	0.0799	456	612	20	172	0.0799
U_ENSG00000124915.11	R3	Q3	match	chr11	61757082	61757211	129	chr19	10213180	10213252	72	1	0.1394	32	128	0	72	0.1394
U_ENSG00000124915.11	R4	Q2	match	chr11	61757526	61757677	151	chr19	10212828	10212916	88	1	0.1391	48	144	0	88	0.1391
U_ENSG00000125462.21	R0	Q20	match	chr1	156404385	156404505	120	chr3	88137239	88137327	88	1	0.0884	12	108	0	88	0.0884
U_ENSG00000125462.21	R1	Q16	match	chr1	156407841	156407956	115	chr3	88133196	88133796	600	1	0.0469	0	112	84	204	0.0469
U_ENSG00000125462.21	R3	Q12	match	chr1	156417911	156418034	123	chr3	88125071	88125415	344	1	0.1166	0	104	96	200	0.1166
U_ENSG00000125462.21	R4	Q6	match	chr1	156429375	156429493	118	chr3	88114624	88114760	136	1	0.1007	8	116	0	108	0.1007
U_ENSG00000125514.10	R0	Q0	match	chr20	63034493	63034581	88	chr2	180437172	180437372	200	1	0.0560	0	88	48	144	0.0560
U_ENSG00000125514.10	R0	Q1	match	chr20	63034493	63034581	88	chr2	180437444	180437628	184	1	0.0247	0	88	16	112	0.0247
U_ENSG00000125514.10	R2	Q3	match	chr20	63036246	63036478	232	chr2	180438180	180438412	232	1	0.1246	108	232	0	116	0.1246
U_ENSG00000125899.9	R0	Q3	match	chr20	10991821	10991925	104	chr2	137286823	137287007	184	1	0.0857	0	104	24	128	0.0857
U_ENSG00000125899.9	R0	Q4	match	chr20	10991821	10991925	104	chr2	137287479	137287615	136	1	0.0922	0	104	8	112	0.0922
U_ENSG00000128254.17	R0	Q2	match	chr22	31927138	31927306	168	chr5	33164241	33164329	88	1	0.0881	24	120	0	88	0.0881
U_ENSG00000130600.23	R1	Q2	match	chr11	1996010	1996146	136	chr7	142130027	142130195	168	1	0.0778	0	128	0	128	0.0778
U_ENSG00000130600.23	R1	Q3	match	chr11	1996010	1996146	136	chr7	142130315	142130419	104	1	0.0786	0	104	0	104	0.0786
U_ENSG00000130600.23	R3	Q8	match	chr11	1996506	1997810	1304	chr7	142131723	142131843	120	1	0.0345	20	168	0	120	0.0345
U_ENSG00000130600.23	R4	Q13	match	chr11	2001229	2001637	408	chr7	142135000	142135136	136	1	0.0627	184	344	0	136	0.0627
U_ENSG00000131007.10	R0	Q0	match	chrY	18587419	18587507	88	chrX	165183648	165183784	136	1	0.0706	0	88	12	108	0.0706
U_ENSG00000136315.7	R0	Q4	match	chr14	20919672	20919776	104	chr14	51493280	51493368	88	1	0.0670	4	100	0	88	0.0670
U_ENSG00000145063.16	R0	Q15	match	chr2	11105510	11105662	152	chr12	17075443	17075691	248	1	0.0876	28	152	112	236	0.0876
U_ENSG00000145063.16	R1	Q13	match	chr2	11120762	11120908	146	chr12	17069786	17070018	232	1	0.0579	0	144	12	148	0.0579
U_ENSG00000145063.16	R2	Q11	match	chr2	11124582	11124723	141	chr12	17068890	17069442	552	1	0.1248	0	96	348	444	0.1248
U_ENSG00000145063.16	R3	Q5	match	chr2	11128720	11128886	166	chr12	17065786	17066018	232	1	0.0909	0	164	44	232	0.0909
U_ENSG00000145063.16	R4	Q1	match	chr2	11132024	11132221	197	chr12	17064142	17064278	136	1	0.1189	76	184	0	108	0.1189
U_ENSG00000146666.5	R0	Q1	match	chr7	47763462	47763578	116	chr11	8761452	8761652	200	1	0.0496	0	116	20	136	0.0496
U_ENSG00000146666.5	R1	Q6	match	chr7	47765920	47766040	120	chr11	8764197	8764317	120	1	0.0630	0	120	0	120	0.0630
U_ENSG00000149443.8	R0	Q2	match	chr20	18799688	18799808	120	chr2	144644037	144644269	232	1	0.0347	0	120	36	160	0.0347
U_ENSG00000149443.8	R0	Q4	match	chr20	18799688	18799808	120	chr2	144645477	144645597	120	1	0.0949	0	116	0	120	0.0949
U_ENSG00000149443.8	R1	Q6	match	chr20	18830091	18830209	118	chr2	144686398	144686502	104	1	0.0921	16	116	4	104	0.0921
U_ENSG00000151303.13	R0	Q10	match	chr10	86983156	86983228	72	chr14	60261355	60261539	184	1	0.0411	0	72	84	180	0.0411
U_ENSG00000151303.13	R1	Q5	match	chr10	86992394	86992469	75	chr14	34083396	34083516	120	1	0.0000	0	75	20	116	0.0000
U_ENSG00000152931.10	R3	Q6	match	chr5	60547813	60547933	120	chr13	108571475	108571611	136	1	0.0811	0	120	16	136	0.0811
U_ENSG00000157306.15	R0	Q3	match	chr14	23513348	23513490	142	chr14	55291435	55291635	200	1	0.0043	0	140	48	196	0.0043
U_ENSG00000157306.15	R1	Q4	match	chr14	23513530	23513890	360	chr14	55291691	55292275	584	1	0.0576	12	344	0	376	0.0576
U_ENSG00000157306.15	R10	Q18	match	chr14	23559191	23559295	104	chr14	55335274	55335394	120	1	0.0986	0	100	8	108	0.0986
U_ENSG00000157306.15	R11	Q19	match	chr14	23559303	23559439	136	chr14	55335402	55335506	104	1	0.0182	28	136	0	104	0.0182
U_ENSG00000157306.15	R13	Q20	match	chr14	23559831	23560111	280	chr14	55335658	55335826	168	1	0.0389	48	232	0	168	0.0389
U_ENSG00000157306.15	R13	Q22	match	chr14	23559831	23560111	280	chr14	55336682	55336882	200	1	0.0501	88	280	0	196	0.0501
U_ENSG00000157306.15	R15	Q23	match	chr14	23560375	23560447	72	chr14	55337242	55337378	136	1	0.0133	0	72	12	108	0.0133
U_ENSG00000157306.15	R4	Q6	match	chr14	23514298	23514553	255	chr14	55292731	55292819	88	1	0.0295	32	128	0	88	0.0295
