gene_bare	gene_name	overlap_category	coding_partners	n_cores	max_species_accepted	mean_species_per_core	best_mean_dist	best_median_dist	max_reference_core_length	max_species_d_le_0_05	max_species_d_le_0_04	max_species_d_le_0_03	max_species_d_le_0_02	max_species_d_le_0_01
ENSG00000285796		antisense	ENSG00000100982	1	18	18.0	0.004	0.0034	1008	18	18	18	18	18
ENSG00000274021		antisense	ENSG00000139318	2	19	18.0	0.0048	0.0044	1368	19	19	19	19	18
ENSG00000301605		antisense	ENSG00000167548	1	19	19.0	0.0057	0.0055	488	19	19	19	19	19
ENSG00000272906		antisense	ENSG00000143337,ENSG00000293564	1	18	18.0	0.0063	0.0057	848	18	18	18	18	16
ENSG00000261840		antisense	ENSG00000080603	1	18	18.0	0.0066	0.0059	528	18	18	18	18	17
ENSG00000307072		antisense	ENSG00000196767	1	18	18.0	0.0066	0.0071	1168	18	18	18	18	16
ENSG00000270175		antisense	ENSG00000139546	1	18	18.0	0.0067	0.004	888	18	18	18	16	15
ENSG00000306196		antisense	ENSG00000047932	1	17	17.0	0.0069	0.0054	888	17	17	17	16	16
ENSG00000272163		antisense	ENSG00000104722	1	18	18.0	0.0071	0.0063	368	18	18	18	18	16
ENSG00000224152	BAZ2B-AS1	antisense	ENSG00000123636	1	19	19.0	0.0072	0.0069	368	19	19	19	19	18
ENSG00000270673		antisense	ENSG00000185728	1	19	19.0	0.0072	0.0056	1088	19	18	18	18	18
ENSG00000290966	KRT87P	antisense	ENSG00000135480,ENSG00000170442	1	17	17.0	0.0072	0.0061	606	17	17	17	17	14
ENSG00000253327	RAD21-AS1	antisense	ENSG00000164754	1	19	19.0	0.0074	0.0062	482	19	19	19	19	16
ENSG00000289291		antisense	ENSG00000198492	1	19	19.0	0.0074	0.0053	728	19	19	19	17	17
ENSG00000272157		antisense	ENSG00000277586	1	19	19.0	0.0075	0.0058	568	19	19	19	18	17
ENSG00000272476		antisense	ENSG00000025796	1	18	18.0	0.0075	0.0058	1488	18	18	18	17	15
ENSG00000239569	KMT2E-AS1	antisense	ENSG00000005483,ENSG00000187416	1	19	19.0	0.0078	0.0066	393	19	19	19	18	18
ENSG00000272086		antisense	ENSG00000113384	1	17	17.0	0.0078	0.0077	448	17	17	17	17	15
ENSG00000300592		antisense	ENSG00000138069	1	19	19.0	0.008	0.004	648	18	18	18	18	18
ENSG00000234608	MAPKAPK5-AS1	antisense	ENSG00000089022,ENSG00000292259	1	17	17.0	0.0081	0.0059	488	17	17	17	16	14
ENSG00000257557	PPP1R12A-AS1	antisense	ENSG00000058272	1	19	19.0	0.0084	0.0068	598	19	19	19	19	14
ENSG00000260063		antisense	ENSG00000117713	2	18	18.0	0.0084	0.006	688	18	18	18	17	13
ENSG00000233220	PRDM10-DT	antisense	ENSG00000170325	1	18	18.0	0.0085	0.0078	688	18	18	18	18	14
ENSG00000224738		antisense	ENSG00000108395,ENSG00000182628	1	18	18.0	0.0085	0.007	688	18	18	18	17	15
ENSG00000278899		antisense	ENSG00000131023	1	19	19.0	0.0086	0.0079	888	19	19	19	19	15
ENSG00000233825		antisense	ENSG00000120616	1	19	19.0	0.0087	0.0084	288	19	19	19	19	18
ENSG00000258738		antisense	ENSG00000198604	1	18	18.0	0.0087	0.0048	608	18	17	17	16	16
ENSG00000273355		antisense	ENSG00000176105	1	17	17.0	0.0088	0.0068	728	17	17	17	16	14
ENSG00000260267		antisense	ENSG00000140691	1	18	18.0	0.0088	0.0063	888	18	18	17	17	15
ENSG00000288998		antisense	ENSG00000120519	1	19	19.0	0.0089	0.0074	1368	19	19	19	19	13
ENSG00000299666		antisense	ENSG00000132475	1	18	18.0	0.0089	0.0087	368	18	18	18	18	14
