gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R0	Q3	match	chr11	2147317	2147811	494	JH581424	20786	21322	536	1	0.0714	156	384	0	200	0.0714
U_ENSG00000099869.8	R1	Q2	match	chr11	2147851	2148179	328	JH581424	20194	20698	504	1	0.0513	188	328	352	480	0.0513
U_ENSG00000099869.8	R2	Q0	match	chr11	2148203	2148643	440	JH581424	18802	19578	776	1	0.0828	304	412	0	108	0.0828
U_ENSG00000103472.11	R0	Q5	match	chr16	29139458	29139546	88	JH568253	79061	79437	376	1	0.0000	0	88	144	240	0.0000
U_ENSG00000103472.11	R1	Q4	match	chr16	29139586	29139799	213	JH568253	78597	79037	440	1	0.0760	36	192	280	428	0.0760
U_ENSG00000103472.11	R2	Q1	match	chr16	29251478	29251689	211	JH579564	68701	68949	248	1	0.0834	56	208	72	224	0.0834
U_ENSG00000105501.13	R0	Q5	match	chr19	51630100	51630216	116	JH569067	79223	79551	328	1	0.1008	0	116	124	240	0.1008
U_ENSG00000105501.13	R1	Q10	match	chr19	51630298	51630430	132	JH569378	231709	233413	1704	1	0.0550	0	124	196	324	0.0550
U_ENSG00000105501.13	R1	Q11	match	chr19	51630298	51630430	132	JH569378	233437	233829	392	1	0.0466	0	116	172	292	0.0466
U_ENSG00000117242.7	R2	Q2	match	chr1	20645584	20645684	100	JH568085	1167688	1167824	136	1	0.1366	0	100	12	112	0.1366
U_ENSG00000117242.7	R3	Q3	match	chr1	20648333	20648501	168	JH568085	1168696	1168896	200	1	0.0512	4	164	44	200	0.0512
U_ENSG00000117242.7	R3	Q4	match	chr1	20648333	20648501	168	JH568085	1168968	1169072	104	1	0.1015	52	148	8	104	0.1015
U_ENSG00000117242.7	R4	Q5	match	chr1	20648749	20649077	328	JH568085	1169144	1169280	136	1	0.0507	140	292	0	136	0.0507
U_ENSG00000117242.7	R5	Q6	match	chr1	20649117	20649253	136	JH568085	1169304	1169440	136	1	0.1170	16	136	8	128	0.1170
U_ENSG00000117242.7	R7	Q8	match	chr1	20650189	20650293	104	JH568085	1170296	1170432	136	1	0.1350	4	104	12	112	0.1350
U_ENSG00000117242.7	R7	Q9	match	chr1	20650189	20650293	104	JH568085	1170744	1170880	136	1	0.1109	8	104	0	96	0.1109
U_ENSG00000117242.7	R8	Q11	match	chr1	20650605	20650741	136	JH568085	1172056	1172448	392	1	0.0206	0	136	176	340	0.0206
U_ENSG00000122043.13	R0	Q2	match	chr13	29947602	29947771	169	JH578084	2329449	2330177	728	1	0.0827	0	168	208	364	0.0827
U_ENSG00000122548.6	R0	Q1	match	chr7	26534324	26534636	312	JH568260	74836	74908	72	1	0.0864	216	312	0	72	0.0864
U_ENSG00000122548.6	R1	Q0	match	chr7	26534756	26534940	184	JH568260	74420	74588	168	1	0.0272	0	164	0	168	0.0272
U_ENSG00000124835.2	R0	Q1	match	chr2	237049804	237050036	232	JH568374	1016119	1016223	104	1	0.0714	0	108	0	104	0.0714
U_ENSG00000124915.11	R0	Q8	match	chr11	61746492	61746805	313	JH569931	3898	4914	1016	1	0.1005	0	312	8	340	0.1005
U_ENSG00000124915.11	R1	Q5	match	chr11	61747384	61747463	79	JH569931	3338	3634	296	1	0.0947	0	79	172	268	0.0947
U_ENSG00000124915.11	R2	Q3	match	chr11	61748542	61749368	826	JH569931	1626	2626	1000	1	0.0971	0	824	24	708	0.0971
U_ENSG00000125462.21	R0	Q17	match	chr1	156404385	156404505	120	JH579858	650702	650902	200	1	0.0926	0	120	4	128	0.0926
U_ENSG00000125462.21	R1	Q14	match	chr1	156407841	156407956	115	JH579858	647769	648001	232	1	0.0918	0	112	0	116	0.0918
U_ENSG00000125462.21	R3	Q9	match	chr1	156417911	156418034	123	JH579858	637993	638273	280	1	0.1252	0	112	20	132	0.1252
U_ENSG00000125462.21	R4	Q4	match	chr1	156429375	156429493	118	JH579858	627319	627471	152	1	0.0733	4	116	0	112	0.0733
U_ENSG00000125462.21	R5	Q0	match	chr1	156455627	156455705	78	JH579858	605125	605437	312	1	0.0644	0	78	144	240	0.0644
U_ENSG00000128254.17	R0	Q0	match	chr22	31927138	31927306	168	JH575770	311005	311157	152	1	0.0332	8	168	0	152	0.0332
U_ENSG00000130600.23	R0	Q2	match	chr11	1995274	1995442	168	JH567658	63054	63318	264	1	0.1014	20	168	20	164	0.1014
U_ENSG00000130600.23	R3	Q5	match	chr11	1996506	1997810	1304	JH567658	66078	66326	248	1	0.0518	100	252	4	152	0.0518
U_ENSG00000130600.23	R4	Q11	match	chr11	2001229	2001637	408	JH567658	71481	72113	632	1	0.1001	36	236	360	572	0.1001
U_ENSG00000132204.15	R2	Q0	match	chr18	1407036	1407220	184	JH568169	433465	433601	136	1	0.1238	4	100	8	104	0.1238
U_ENSG00000145063.16	R0	Q12	match	chr2	11105510	11105662	152	JH568345	19286	19438	152	1	0.1103	40	152	4	116	0.1103
