# lncRNAs with conserved cores across mammals
# panel: 19 species (rheMac10, mm39, rn7, HLoryCun3, bosTau9, susScr11, HLbalEde1, HLcamDro2, equCab3, felCat9, canFam5, HLmanJav2, HLpteVam2, eriEur2, dasNov3, HLeleMax1, monDom5, HLdidVir1, HLnotEug3)
# criteria: lncRNA cores in >= 18 species, mean length >= 120 bp, mean cosine-SW distance <= 0.1
# total genes: 1107  |  intergenic (>5 kb from coding): 234
gene_bare	gene_name	overlap_category	n_cores	max_species	mean_species	best_mean_dist	best_median_dist	max_core_len	coding_partners
ENSG00000285796		antisense	1	18	18.0	0.004	0.0034	1008.0	ENSG00000100982
ENSG00000274021		antisense	1	19	19.0	0.0048	0.0044	1368.0	ENSG00000139318
ENSG00000301605		antisense	1	19	19.0	0.0057	0.0055	488.0	ENSG00000167548
ENSG00000272906		antisense	1	18	18.0	0.0063	0.0057	848.0	ENSG00000143337,ENSG00000293564
ENSG00000261840		antisense	1	18	18.0	0.0066	0.0059	528.0	ENSG00000080603
ENSG00000307072		antisense	1	18	18.0	0.0066	0.0071	1168.0	ENSG00000196767
ENSG00000270175		antisense	1	18	18.0	0.0067	0.004	888.0	ENSG00000139546
ENSG00000272163		antisense	1	18	18.0	0.0071	0.0063	368.0	ENSG00000104722
ENSG00000224152	BAZ2B-AS1	antisense	1	19	19.0	0.0072	0.0069	368.0	ENSG00000123636
ENSG00000270673		antisense	1	19	19.0	0.0072	0.0056	1088.0	ENSG00000185728
ENSG00000253327	RAD21-AS1	antisense	1	19	19.0	0.0074	0.0062	482.0	ENSG00000164754
ENSG00000289291		antisense	1	19	19.0	0.0074	0.0053	728.0	ENSG00000198492
ENSG00000272157		antisense	1	19	19.0	0.0075	0.0058	568.0	ENSG00000277586
ENSG00000272476		antisense	1	18	18.0	0.0075	0.0058	1488.0	ENSG00000025796
ENSG00000239569	KMT2E-AS1	antisense	1	19	19.0	0.0078	0.0066	393.0	ENSG00000005483,ENSG00000187416
ENSG00000300592		antisense	1	19	19.0	0.008	0.004	648.0	ENSG00000138069
ENSG00000257557	PPP1R12A-AS1	antisense	1	19	19.0	0.0084	0.0068	598.0	ENSG00000058272
ENSG00000260063		antisense	2	18	18.0	0.0084	0.006	688.0	ENSG00000117713
ENSG00000233220	PRDM10-DT	antisense	1	18	18.0	0.0085	0.0078	688.0	ENSG00000170325
ENSG00000224738		antisense	1	18	18.0	0.0085	0.007	688.0	ENSG00000108395,ENSG00000182628
ENSG00000278899		antisense	1	19	19.0	0.0086	0.0079	888.0	ENSG00000131023
ENSG00000233825		antisense	1	19	19.0	0.0087	0.0084	288.0	ENSG00000120616
ENSG00000258738		antisense	1	18	18.0	0.0087	0.0048	608.0	ENSG00000198604
ENSG00000260267		antisense	1	18	18.0	0.0088	0.0063	888.0	ENSG00000140691
ENSG00000288998		antisense	1	19	19.0	0.0089	0.0074	1368.0	ENSG00000120519
ENSG00000299666		antisense	1	18	18.0	0.0089	0.0087	368.0	ENSG00000132475
ENSG00000240497		antisense	1	19	19.0	0.0089	0.0032	1048.0	ENSG00000154310
ENSG00000267146		antisense	1	19	19.0	0.0089	0.0086	248.0	ENSG00000091157
ENSG00000310289		antisense	1	18	18.0	0.0089	0.0064	608.0	ENSG00000100906
ENSG00000273391		antisense	1	19	19.0	0.0091	0.0064	1168.0	ENSG00000146963,ENSG00000269955
ENSG00000251867		antisense	1	18	18.0	0.0091	0.009	368.0	ENSG00000205189
ENSG00000228830		antisense	1	19	19.0	0.0094	0.0093	270.0	ENSG00000168264
ENSG00000287825		antisense	1	18	18.0	0.0094	0.008	487.0	ENSG00000137161
ENSG00000250742	LINC02381	antisense	1	19	19.0	0.0095	0.0083	408.0	ENSG00000123415
ENSG00000268858		antisense	2	19	18.5	0.0097	0.0066	408.0	ENSG00000101150,ENSG00000183260
ENSG00000310092		antisense	1	19	19.0	0.0097	0.0092	320.0	ENSG00000118733
ENSG00000254933		antisense	1	19	19.0	0.0097	0.009	306.0	ENSG00000085741
ENSG00000266208	GJD3-AS1	antisense	1	18	18.0	0.0098	0.007	805.0	ENSG00000183153
ENSG00000258752		antisense	1	19	19.0	0.0098	0.0093	248.0	ENSG00000053254
ENSG00000307036		antisense	1	19	19.0	0.0099	0.0066	648.0	ENSG00000166106
ENSG00000287125		antisense	1	19	19.0	0.0101	0.0081	808.0	ENSG00000154102
ENSG00000260352	SMG1-DT	antisense	1	19	19.0	0.0102	0.0098	248.0	ENSG00000157106
ENSG00000235478		antisense	1	18	18.0	0.0103	0.0055	528.0	ENSG00000183307
ENSG00000271360		antisense	1	19	19.0	0.0103	0.0065	648.0	ENSG00000148429
ENSG00000221817	PPP3CB-AS1	antisense	1	19	19.0	0.0105	0.0094	288.0	ENSG00000107758,ENSG00000166348
ENSG00000305212		antisense	1	19	19.0	0.0105	0.0089	309.0	ENSG00000085276
ENSG00000306567		antisense	1	19	19.0	0.0105	0.0072	568.0	ENSG00000168843
ENSG00000302846		antisense	1	19	19.0	0.0105	0.0098	300.0	ENSG00000275410
ENSG00000307064		antisense	1	19	19.0	0.0106	0.006	688.0	ENSG00000105856
ENSG00000270194	GOLGA4-AS1	antisense	1	18	18.0	0.0106	0.0056	1088.0	ENSG00000144674
ENSG00000285921		antisense	1	18	18.0	0.0106	0.0078	368.0	ENSG00000184384
ENSG00000279762		antisense	1	18	18.0	0.0106	0.0074	848.0	ENSG00000108671
ENSG00000264066		antisense	1	19	19.0	0.0107	0.0089	448.0	ENSG00000132591
ENSG00000267707		antisense	1	19	19.0	0.0107	0.0104	208.0	ENSG00000101489
ENSG00000305473		antisense	1	19	19.0	0.0107	0.0086	441.0	ENSG00000039600
ENSG00000272841		antisense	1	18	18.0	0.0107	0.0049	808.0	ENSG00000085511
ENSG00000254928		antisense	1	19	19.0	0.0108	0.0099	288.0	ENSG00000175538
ENSG00000257550		antisense	1	18	18.0	0.0109	0.0081	332.0	ENSG00000170653,ENSG00000267281
ENSG00000287243		antisense	1	18	18.0	0.0109	0.0093	408.0	ENSG00000111218
ENSG00000289056		antisense	2	19	19.0	0.0109	0.0054	728.0	ENSG00000151883
ENSG00000276116		antisense	1	19	19.0	0.011	0.0038	1048.0	ENSG00000033170
ENSG00000230630	DNM3OS	antisense	1	19	19.0	0.0113	0.0103	288.0	ENSG00000197959
ENSG00000267042		antisense	1	18	18.0	0.0113	0.0088	288.0	ENSG00000184451
ENSG00000264982		antisense	1	19	19.0	0.0116	0.0107	248.0	ENSG00000141441
ENSG00000308015		antisense	1	19	19.0	0.0116	0.0102	248.0	ENSG00000151150
ENSG00000306924		antisense	1	18	18.0	0.0116	0.01	248.0	ENSG00000058091
ENSG00000259721		antisense	1	18	18.0	0.0117	0.0072	488.0	ENSG00000166923
ENSG00000204380	PKP4-AS1	antisense	1	18	18.0	0.0117	0.01	288.0	ENSG00000144283
ENSG00000225174		antisense	1	19	19.0	0.0117	0.0071	488.0	ENSG00000081087
ENSG00000298202		antisense	1	19	19.0	0.0118	0.0106	248.0	ENSG00000164081,ENSG00000164082
ENSG00000304124		antisense	1	19	19.0	0.0118	0.0107	207.0	ENSG00000171532
ENSG00000263823		antisense	1	18	18.0	0.0119	0.0074	1008.0	ENSG00000153339
ENSG00000273702		antisense	1	19	19.0	0.0119	0.0098	408.0	ENSG00000141367
ENSG00000280620	SCAANT1	antisense	1	19	19.0	0.0121	0.0081	488.0	ENSG00000163635
ENSG00000253744		antisense	1	18	18.0	0.0121	0.0107	264.0	ENSG00000153914
ENSG00000250734		antisense	1	18	18.0	0.0121	0.0088	322.0	ENSG00000143376
ENSG00000288966		antisense	1	19	19.0	0.0122	0.0112	248.0	ENSG00000140396
