gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000083622.8	R0	Q0	match	chr7	117604885	117604973	88	chr3	143804937	143805041	104	1	0.1215	0	88	0	96	0.1215
U_ENSG00000099869.8	R0	Q4	match	chr11	2147317	2147811	494	chr14	2207566	2208134	568	1	0.0455	0	492	36	560	0.0455
U_ENSG00000099869.8	R2	Q6	match	chr11	2148203	2148643	440	chr14	2208654	2209494	840	1	0.0252	0	440	164	608	0.0252
U_ENSG00000103472.11	R3	Q1	match	chr16	29312349	29312583	234	chr20	75031737	75032097	360	1	0.0150	0	208	152	360	0.0150
U_ENSG00000103472.11	R3	Q2	match	chr16	29312349	29312583	234	chr20	75032105	75032273	168	1	0.0939	132	232	0	100	0.0939
U_ENSG00000103472.11	R4	Q7	match	chr16	29326346	29326483	137	chr20	75047977	75048097	120	1	0.1413	0	96	16	112	0.1413
U_ENSG00000105501.13	R1	Q1	match	chr19	51630298	51630430	132	chr19	49942233	49942897	664	1	0.0514	0	116	540	660	0.0514
U_ENSG00000115934.11	R0	Q1	match	chr12	23182375	23182607	232	chr11	24473251	24473547	296	1	0.0190	0	232	40	272	0.0190
U_ENSG00000124915.11	R0	Q14	match	chr11	61746492	61746805	313	chr14	12429068	12429412	344	1	0.0454	56	312	0	256	0.0454
U_ENSG00000124915.11	R2	Q12	match	chr11	61748542	61749368	826	chr14	12426444	12428532	2088	1	0.0264	0	824	8	820	0.0264
U_ENSG00000124915.11	R3	Q3	match	chr11	61757082	61757211	129	chr14	12418365	12418533	168	1	0.0344	0	128	24	160	0.0344
U_ENSG00000124915.11	R4	Q1	match	chr11	61757526	61757677	151	chr14	12417901	12418069	168	1	0.0251	0	148	24	168	0.0251
