gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R0	Q4	match	chr11	2147317	2147811	494	chr1	197831850	197831938	88	1	0.0386	168	264	0	88	0.0386
U_ENSG00000099869.8	R2	Q5	match	chr11	2148203	2148643	440	chr1	197832010	197832146	136	1	0.0770	56	184	0	128	0.0770
U_ENSG00000099869.8	R2	Q6	match	chr11	2148203	2148643	440	chr1	197832170	197832482	312	1	0.0583	72	260	8	192	0.0583
U_ENSG00000103472.11	R0	Q19	match	chr16	29139458	29139546	88	chr19	50100698	50100946	248	1	0.0000	0	88	24	120	0.0000
U_ENSG00000103472.11	R2	Q23	match	chr16	29251478	29251689	211	chr19	50185342	50185542	200	1	0.1091	4	116	88	200	0.1091
U_ENSG00000103472.11	R2	Q24	match	chr16	29251478	29251689	211	chr19	50185694	50185830	136	1	0.0607	104	208	0	104	0.0607
U_ENSG00000116652.7	R0	Q2	match	chr1	63548089	63548241	152	chr5	114552167	114552239	72	1	0.1420	0	96	0	72	0.1420
U_ENSG00000117242.7	R10	Q5	match	chr1	20651677	20651765	88	chr5	150530764	150530900	136	1	0.0339	0	88	20	116	0.0339
U_ENSG00000117242.7	R2	Q19	match	chr1	20645584	20645684	100	chr5	150535018	150535202	184	1	0.0912	0	100	24	124	0.0912
U_ENSG00000117242.7	R3	Q14	match	chr1	20648333	20648501	168	chr5	150533452	150533572	120	1	0.0241	36	160	0	120	0.0241
U_ENSG00000117242.7	R4	Q12	match	chr1	20648749	20649077	328	chr5	150532988	150533140	152	1	0.0632	0	172	0	144	0.0632
U_ENSG00000117242.7	R5	Q11	match	chr1	20649117	20649253	136	chr5	150532700	150532980	280	1	0.0581	0	136	116	260	0.0581
U_ENSG00000117242.7	R7	Q7	match	chr1	20650189	20650293	104	chr5	150531452	150531604	152	1	0.0610	0	104	0	104	0.0610
U_ENSG00000117242.7	R8	Q6	match	chr1	20650605	20650741	136	chr5	150531020	150531268	248	1	0.0426	12	136	0	128	0.0426
U_ENSG00000122043.13	R0	Q5	match	chr13	29947602	29947771	169	chr12	6378278	6378414	136	1	0.0649	0	112	8	128	0.0649
U_ENSG00000122043.13	R1	Q1	match	chr13	29963239	29963374	135	chr12	6366270	6366406	136	1	0.0546	0	128	0	136	0.0546
U_ENSG00000122548.6	R1	Q0	match	chr7	26534756	26534940	184	chr4	80832517	80832717	200	1	0.0590	0	136	0	140	0.0590
U_ENSG00000124835.2	R0	Q0	match	chr2	237049804	237050036	232	chr9	91182879	91182999	120	1	0.0633	8	120	8	120	0.0633
U_ENSG00000124835.2	R0	Q1	match	chr2	237049804	237050036	232	chr9	91183071	91183175	104	1	0.0940	12	116	0	104	0.0940
U_ENSG00000124835.2	R2	Q6	match	chr2	237055426	237055594	168	chr9	91187169	91187257	88	1	0.0000	32	128	0	88	0.0000
U_ENSG00000124915.11	R0	Q14	match	chr11	61746492	61746805	313	chr1	206890807	206891215	408	1	0.0815	84	312	68	316	0.0815
U_ENSG00000124915.11	R1	Q10	match	chr11	61747384	61747463	79	chr1	206889511	206890095	584	1	0.1087	0	79	48	144	0.1087
U_ENSG00000124915.11	R2	Q9	match	chr11	61748542	61749368	826	chr1	206889287	206889375	88	1	0.0000	160	256	0	88	0.0000
U_ENSG00000124915.11	R4	Q1	match	chr11	61757526	61757677	151	chr1	206880967	206881071	104	1	0.1358	44	144	4	104	0.1358
U_ENSG00000125462.21	R0	Q26	match	chr1	156404385	156404505	120	chr2	173691317	173691533	216	1	0.0805	0	120	24	152	0.0805
U_ENSG00000125462.21	R1	Q22	match	chr1	156407841	156407956	115	chr2	173687601	173688009	408	1	0.0607	0	112	196	308	0.0607
U_ENSG00000125462.21	R3	Q14	match	chr1	156417911	156418034	123	chr2	173679129	173679281	152	1	0.1202	0	104	48	152	0.1202
U_ENSG00000125462.21	R4	Q9	match	chr1	156429375	156429493	118	chr2	173668951	173669071	120	1	0.1193	12	112	0	100	0.1193
U_ENSG00000125462.21	R5	Q6	match	chr1	156455627	156455705	78	chr2	173647215	173647383	168	1	0.0508	0	78	16	112	0.0508
U_ENSG00000125514.10	R1	Q8	match	chr20	63035564	63035721	157	chr3	167912173	167912309	136	1	0.1048	0	124	0	128	0.1048
U_ENSG00000125514.10	R2	Q11	match	chr20	63036246	63036478	232	chr3	167913325	167913509	184	1	0.0650	112	232	12	132	0.0650
U_ENSG00000125899.9	R0	Q1	match	chr20	10991821	10991925	104	chr3	124773111	124773311	200	1	0.1031	0	104	52	156	0.1031
U_ENSG00000128254.17	R0	Q0	match	chr22	31927138	31927306	168	chr14	77719462	77719598	136	1	0.0549	0	132	8	136	0.0549
U_ENSG00000130600.23	R0	Q1	match	chr11	1995274	1995442	168	chr1	197730794	197730946	152	1	0.0979	0	132	8	144	0.0979
U_ENSG00000130600.23	R3	Q7	match	chr11	1996506	1997810	1304	chr1	197733130	197733362	232	1	0.0763	20	332	0	232	0.0763
U_ENSG00000131007.10	R0	Q0	match	chrY	18587419	18587507	88	chrX	28050408	28050544	136	1	0.0950	0	88	0	96	0.0950
U_ENSG00000145063.16	R1	Q15	match	chr2	11120762	11120908	146	chr6	39804576	39804936	360	1	0.0735	0	144	172	328	0.0735
U_ENSG00000145063.16	R2	Q14	match	chr2	11124582	11124723	141	chr6	39804144	39804376	232	1	0.1357	24	120	0	96	0.1357
U_ENSG00000145063.16	R3	Q11	match	chr2	11128720	11128886	166	chr6	39802505	39802641	136	1	0.0631	24	144	0	120	0.0631
U_ENSG00000145063.16	R4	Q2	match	chr2	11132024	11132221	197	chr6	39797817	39798049	232	1	0.0638	4	192	0	228	0.0638
U_ENSG00000146666.5	R0	Q1	match	chr7	47763462	47763578	116	chr14	83530084	83530220	136	1	0.0715	4	116	0	112	0.0715
U_ENSG00000146666.5	R1	Q6	match	chr7	47765920	47766040	120	chr14	83532900	83533068	168	1	0.0690	0	120	48	168	0.0690
U_ENSG00000149443.8	R0	Q2	match	chr20	18799688	18799808	120	chr3	132194641	132194777	136	1	0.0767	0	120	8	132	0.0767
