gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R1	Q3	match	chr11	2147851	2148179	328	JH836149	792203	793091	888	1	0.0800	172	328	316	484	0.0800
U_ENSG00000099869.8	R2	Q2	match	chr11	2148203	2148643	440	JH836149	791931	792195	264	1	0.0610	260	428	80	264	0.0610
U_ENSG00000103472.11	R1	Q1	match	chr16	29139586	29139799	213	JH836149	813014	813534	520	1	0.0742	4	192	312	496	0.0742
U_ENSG00000103472.11	R1	Q2	match	chr16	29139586	29139799	213	JH836149	813990	814142	152	1	0.0597	36	172	8	136	0.0597
U_ENSG00000103472.11	R2	Q3	match	chr16	29251478	29251689	211	JH836149	814230	814334	104	1	0.0654	32	144	0	104	0.0654
U_ENSG00000103472.11	R3	Q12	match	chr16	29312349	29312583	234	JH835308	5942589	5942725	136	1	0.1302	132	232	16	116	0.1302
U_ENSG00000105501.13	R1	Q2	match	chr19	51630298	51630430	132	JH836510	6107	6707	600	1	0.0314	0	132	252	404	0.0314
U_ENSG00000116652.7	R0	Q0	match	chr1	63548089	63548241	152	JH835469	2087327	2087463	136	1	0.0901	12	132	4	136	0.0901
U_ENSG00000117242.7	R1	Q20	match	chr1	20642998	20643102	104	JH836005	1036026	1036482	456	1	0.1353	0	96	68	164	0.1353
U_ENSG00000117242.7	R10	Q3	match	chr1	20651677	20651765	88	JH836005	1028199	1028527	328	1	0.0000	0	88	12	108	0.0000
U_ENSG00000117242.7	R2	Q17	match	chr1	20645584	20645684	100	JH836005	1035210	1035378	168	1	0.0686	0	100	12	112	0.0686
U_ENSG00000117242.7	R3	Q13	match	chr1	20648333	20648501	168	JH836005	1031751	1032367	616	1	0.1345	20	132	364	476	0.1345
U_ENSG00000117242.7	R4	Q12	match	chr1	20648749	20649077	328	JH836005	1031575	1031711	136	1	0.1059	12	144	8	132	0.1059
U_ENSG00000117242.7	R5	Q10	match	chr1	20649117	20649253	136	JH836005	1030967	1031087	120	1	0.0598	24	136	4	116	0.0598
U_ENSG00000117242.7	R9	Q8	match	chr1	20650861	20651045	184	JH836005	1030055	1030367	312	1	0.0855	8	140	40	184	0.0855
U_ENSG00000122043.13	R0	Q3	match	chr13	29947602	29947771	169	JH835464	2382718	2383030	312	1	0.1032	0	164	156	312	0.1032
U_ENSG00000122548.6	R2	Q1	match	chr7	26535268	26535388	120	JH835609	1007974	1008078	104	1	0.0000	12	116	0	104	0.0000
U_ENSG00000124915.11	R0	Q2	match	chr11	61746492	61746805	313	JH835583	506097	506553	456	1	0.1123	0	312	36	400	0.1123
U_ENSG00000124915.11	R1	Q3	match	chr11	61747384	61747463	79	JH835583	506737	507145	408	1	0.1097	0	79	24	120	0.1097
U_ENSG00000124915.11	R2	Q6	match	chr11	61748542	61749368	826	JH835583	507601	507785	184	1	0.0577	0	172	0	184	0.0577
U_ENSG00000124915.11	R2	Q7	match	chr11	61748542	61749368	826	JH835583	507889	507993	104	1	0.0000	180	284	0	104	0.0000
U_ENSG00000124915.11	R3	Q13	match	chr11	61757082	61757211	129	JH835583	516921	517313	392	1	0.1387	0	96	68	164	0.1387
U_ENSG00000124915.11	R4	Q14	match	chr11	61757526	61757677	151	JH835583	517353	517681	328	1	0.0780	8	120	192	304	0.0780
U_ENSG00000124915.11	R4	Q19	match	chr11	61757526	61757677	151	JH835583	519369	519601	232	1	0.0767	8	148	72	208	0.0767
U_ENSG00000125462.21	R0	Q2	match	chr1	156404385	156404505	120	JH836106	659662	659894	232	1	0.0933	0	120	0	124	0.0933
U_ENSG00000125462.21	R1	Q4	match	chr1	156407841	156407956	115	JH836106	663593	664353	760	1	0.0027	0	112	244	356	0.0027
U_ENSG00000125462.21	R3	Q10	match	chr1	156417911	156418034	123	JH836106	677172	677292	120	1	0.1199	0	100	0	100	0.1199
U_ENSG00000125462.21	R4	Q13	match	chr1	156429375	156429493	118	JH836106	687460	688044	584	1	0.0977	4	116	4	124	0.0977
U_ENSG00000125462.21	R4	Q14	match	chr1	156429375	156429493	118	JH836106	688052	688316	264	1	0.0713	8	116	148	256	0.0713
U_ENSG00000125514.10	R2	Q1	match	chr20	63036246	63036478	232	JH835410	2565294	2565366	72	1	0.0301	40	136	0	72	0.0301
U_ENSG00000130600.23	R0	Q2	match	chr11	1995274	1995442	168	JH836600	222603	222835	232	1	0.0845	4	168	48	220	0.0845
U_ENSG00000130600.23	R1	Q4	match	chr11	1996010	1996146	136	JH836600	223163	223411	248	1	0.0936	0	132	108	244	0.0936
U_ENSG00000130600.23	R3	Q5	match	chr11	1996506	1997810	1304	JH836600	223435	223779	344	1	0.0591	344	516	180	344	0.0591
U_ENSG00000130600.23	R3	Q6	match	chr11	1996506	1997810	1304	JH836600	223787	223923	136	1	0.0523	840	992	0	136	0.0523
U_ENSG00000130600.23	R4	Q14	match	chr11	2001229	2001637	408	JH836600	226118	226302	184	1	0.0458	76	220	0	132	0.0458
U_ENSG00000130600.23	R4	Q15	match	chr11	2001229	2001637	408	JH836600	226123	226323	200	1	0.0414	80	220	20	152	0.0414
U_ENSG00000131007.10	R0	Q0	match	chrY	18587419	18587507	88	JH835362	4039049	4039153	104	1	0.0814	0	88	0	96	0.0814
U_ENSG00000132204.15	R2	Q10	match	chr18	1407036	1407220	184	JH835398	527513	527729	216	1	0.0573	4	100	4	100	0.0573
U_ENSG00000146666.5	R0	Q9	match	chr7	47763462	47763578	116	JH835531	2348725	2349213	488	1	0.0608	0	116	164	280	0.0608
U_ENSG00000146666.5	R1	Q2	match	chr7	47765920	47766040	120	JH835531	2340277	2340541	264	1	0.1075	0	120	36	160	0.1075
U_ENSG00000151303.13	R4	Q0	match	chr10	87009544	87009840	296	JH835748	115309	115445	136	1	0.0756	0	108	20	128	0.0756
U_ENSG00000152931.10	R1	Q0	match	chr5	60546261	60546413	152	JH835351	3649031	3649135	104	1	0.1333	16	112	8	104	0.1333
