chrom	start	end	strand	mmd_score	biotype	gene_id	gene_name	transcript_id	chain_id
chr6	24911899	24911962	+	0.186896	snoRNA	ENSG00000223004.1		U_ENSG00000223004.1	1
chr6	489587	489630	-	0.000000	miRNA	ENSG00000264233.1		U_ENSG00000264233.1	1
chr6	26313693	26313764	-	0.317201	tRNA	tRNA-Lys-CTT-9-1		U_tRNA-Lys-CTT-9-1	1
chr6	52395143	52395204	-	0.000000	miRNA	ENSG00000265421.1		U_ENSG00000265421.1	1
chr6	72414127	72414188	-	0.000000	snRNA	ENSG00000251724.1		U_ENSG00000251724.1	1
chr6	83960889	83960965	-	0.000000	miRNA	ENSG00000265919.1		U_ENSG00000265919.1	1
chr6	1259765	1259833	-	0.000000	miRNA	ENSG00000263670.1		U_ENSG00000263670.1	1
chr6	35412021	35412083	-	0.000000	snRNA	ENSG00000238441.1		U_ENSG00000238441.1	1
chr6	37173686	37173748	+	0.000000	snRNA	ENSG00000251880.1		U_ENSG00000251880.1	1
chr6	40772013	40772075	-	0.000000	snRNA	ENSG00000253098.1		U_ENSG00000253098.1	1
chr6	70685349	70685411	-	0.000000	snRNA	ENSG00000238913.1		U_ENSG00000238913.1	1
chr6	10261019	10261125	-	0.089327	misc_RNA	ENSG00000252341.1		U_ENSG00000252341.1	1
chr6	32050779	32050837	-	0.000000	miRNA	ENSG00000266243.1		U_ENSG00000266243.1	1
chr6	73781969	73782049	+	0.000000	snRNA	ENSG00000252684.1		U_ENSG00000252684.1	1
chr6	1680714	1680793	-	0.006827	miRNA	ENSG00000263746.1		U_ENSG00000263746.1	1
chr6	6757580	6757649	-	0.099145	miRNA	ENSG00000283420.1		U_ENSG00000283420.1	1
chr6	8410157	8410232	+	0.000000	miRNA	ENSG00000284000.1		U_ENSG00000284000.1	1
chr6	9504576	9504646	+	0.000000	snoRNA	ENSG00000239112.1		U_ENSG00000239112.1	1
chr6	38399031	38399091	-	0.000000	miRNA	ENSG00000265304.1		U_ENSG00000265304.1	1
chr6	56870755	56870822	-	0.000000	miRNA	ENSG00000265699.1		U_ENSG00000265699.1	1
chr6	76368046	76368143	+	0.085451	misc_RNA	ENSG00000207391.1		U_ENSG00000207391.1	1
chr6	1021206	1021286	-	0.019912	miRNA	ENSG00000263834.1		U_ENSG00000263834.1	1
chr6	16178830	16178909	+	0.000000	miRNA	ENSG00000216077.3		U_ENSG00000216077.3	1
chr6	18326271	18326345	+	0.000000	snoRNA	ENSG00000212278.1		U_ENSG00000212278.1	1
chr6	29166705	29166820	+	0.039168	snoRNA	ENSG00000252601.1		U_ENSG00000252601.1	1
chr6	31931254	31931329	-	0.000000	snRNA	ENSG00000252373.1		U_ENSG00000252373.1	1
chr6	40689491	40689571	-	0.000000	snoRNA	ENSG00000212296.1		U_ENSG00000212296.1	1
chr6	53815870	53815952	-	0.021222	miRNA	ENSG00000265135.1		U_ENSG00000265135.1	1
chr6	68989790	68989864	+	0.000000	miRNA	ENSG00000264099.1		U_ENSG00000264099.1	1
chr6	79633060	79633130	+	0.000000	miRNA	ENSG00000283359.1		U_ENSG00000283359.1	1
chr6	83455414	83455493	+	0.000000	miRNA	ENSG00000284078.1		U_ENSG00000284078.1	1
chr6	9010573	9010653	-	0.000000	miRNA	ENSG00000266415.1		U_ENSG00000266415.1	1
chr6	15065287	15065371	-	0.000000	miRNA	ENSG00000264792.1		U_ENSG00000264792.1	1
chr6	24062563	24062665	-	0.000000	misc_RNA	ENSG00000200600.1		U_ENSG00000200600.1	1
chr6	53467715	53467806	-	0.000000	miRNA	ENSG00000198983.1		U_ENSG00000198983.1	1
chr6	53467829	53467926	-	0.000000	miRNA	ENSG00000207728.1		U_ENSG00000207728.1	1
chr6	57907383	57907466	+	0.000000	tRNA	tRNA-Leu-CTA-chr5-1		U_tRNA-Leu-CTA-chr5-1	1
chr6	76001462	76001564	-	0.000000	misc_RNA	ENSG00000201955.1		U_ENSG00000201955.1	1
chr6	10443069	10443178	+	0.000000	miRNA	ENSG00000277073.1		U_ENSG00000277073.1	1
chr6	16867127	16867219	-	0.000000	misc_RNA	ENSG00000201370.1		U_ENSG00000201370.1	1
chr6	23449909	23450017	+	0.000000	misc_RNA	ENSG00000206912.1		U_ENSG00000206912.1	1
chr6	32247704	32247801	+	0.000000	misc_RNA	ENSG00000200065.1		U_ENSG00000200065.1	1
chr6	32516473	32516571	-	0.000000	miRNA	ENSG00000207956.1		U_ENSG00000207956.1	1
