label	level	flank	method	ref_len	query_len	aln_cols	aln_pct_id	cov_ref	cov_query	plfold_W	plfold_L	n_shared_exact	weighted_jaccard	weighted_overlap	n_shared_tol2	wov_tol2	n_shared_tol3	wov_tol3
MALAT1.R5	core	0	global	325	285	285	83.5	0.877	1.0			41	0.187	0.332	44	0.373	49	0.394
MALAT1.R5	core	0	plfold	325	285	285	83.5	0.877	1.0	150.0	100.0	62	0.263	0.449	84	0.542	87	0.549
MALAT1.R5	+/-20	20	global	365	325	316	83.2	0.866	0.972			70	0.231	0.397	73	0.457	73	0.457
MALAT1.R5	+/-20	20	plfold	365	325	316	83.2	0.866	0.972	150.0	100.0	60	0.228	0.396	78	0.483	81	0.488
MALAT1.R5	+/-40	40	global	405	365	362	82.9	0.894	0.992			71	0.193	0.345	83	0.429	87	0.441
MALAT1.R5	+/-40	40	plfold	405	365	362	82.9	0.894	0.992	150.0	100.0	65	0.216	0.386	82	0.475	89	0.488
MALAT1.R4	core	0	global	164	160	156	93.6	0.951	0.975			0	0.016	0.032	0	0.0	6	0.035
MALAT1.R4	core	0	plfold	164	160	156	93.6	0.951	0.975	150.0	100.0	28	0.199	0.344	36	0.408	52	0.61
MALAT1.R4	+/-20	20	global	204	200	190	91.1	0.931	0.95			23	0.067	0.131	30	0.172	42	0.207
MALAT1.R4	+/-20	20	plfold	204	200	190	91.1	0.931	0.95	150.0	100.0	42	0.175	0.299	65	0.452	80	0.549
MALAT1.R4	+/-40	40	global	244	240	219	93.2	0.898	0.912			32	0.137	0.246	45	0.325	46	0.328
MALAT1.R4	+/-40	40	plfold	244	240	219	93.2	0.898	0.912	150.0	100.0	64	0.187	0.316	92	0.431	104	0.48
MALAT1.R3	core	0	global	177	163	157	73.9	0.887	0.963			8	0.053	0.108	11	0.153	12	0.158
MALAT1.R3	core	0	plfold	177	163	157	73.9	0.887	0.963	150.0	100.0	9	0.026	0.055	12	0.046	12	0.046
MALAT1.R3	+/-20	20	global	217	203	194	73.2	0.894	0.956			8	0.051	0.106	14	0.15	15	0.157
MALAT1.R3	+/-20	20	plfold	217	203	194	73.2	0.894	0.956	150.0	100.0	13	0.047	0.095	21	0.155	22	0.161
MALAT1.R3	+/-40	40	global	257	243	230	74.8	0.895	0.947			8	0.045	0.091	11	0.114	13	0.136
MALAT1.R3	+/-40	40	plfold	257	243	230	74.8	0.895	0.947	150.0	100.0	20	0.07	0.144	29	0.189	32	0.208
MALAT1.R2	core	0	global	242	243	227	68.3	0.938	0.934			7	0.012	0.024	11	0.038	14	0.062
MALAT1.R2	core	0	plfold	242	243	227	68.3	0.938	0.934	150.0	100.0	7	0.012	0.026	16	0.056	21	0.096
MALAT1.R2	+/-20	20	global	282	283	264	69.7	0.936	0.933			0	0.009	0.018	15	0.044	20	0.063
MALAT1.R2	+/-20	20	plfold	282	283	264	69.7	0.936	0.933	150.0	100.0	11	0.019	0.038	23	0.084	29	0.126
MALAT1.R2	+/-40	40	global	322	323	294	69.4	0.913	0.91			2	0.005	0.011	13	0.048	16	0.07
MALAT1.R2	+/-40	40	plfold	322	323	294	69.4	0.913	0.91	150.0	100.0	18	0.022	0.042	43	0.115	52	0.153
