gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000103472.11	R2	Q0	match	chr16	29251478	29251689	211	chr1	694211665	694211801	136	1	0.1275	20	116	40	136	0.1275
U_ENSG00000117242.7	R10	Q1	match	chr1	20651677	20651765	88	chr4	357721573	357721725	152	1	0.0836	0	88	28	124	0.0836
U_ENSG00000117242.7	R3	Q10	match	chr1	20648333	20648501	168	chr4	357731922	357732090	168	1	0.0857	24	168	0	168	0.0857
U_ENSG00000117242.7	R5	Q9	match	chr1	20649117	20649253	136	chr4	357730709	357730877	168	1	0.0388	0	136	4	156	0.0388
U_ENSG00000117242.7	R6	Q6	match	chr1	20649469	20649797	328	chr4	357727173	357727325	152	1	0.1436	40	136	56	152	0.1436
U_ENSG00000122043.13	R0	Q1	match	chr13	29947602	29947771	169	chr4	300854667	300854803	136	1	0.1142	0	104	16	120	0.1142
U_ENSG00000122043.13	R0	Q3	match	chr13	29947602	29947771	169	chr4	300857819	300857923	104	1	0.1144	0	100	4	104	0.1144
U_ENSG00000122043.13	R1	Q6	match	chr13	29963239	29963374	135	chr4	300860571	300860739	168	1	0.0603	8	132	0	124	0.0603
U_ENSG00000122548.6	R2	Q7	match	chr7	26535268	26535388	120	chr8	297905747	297905835	88	1	0.0000	24	120	0	88	0.0000
U_ENSG00000122548.6	R3	Q3	match	chr7	26536276	26536364	88	chr8	297900611	297900747	136	1	0.0968	0	88	24	120	0.0968
U_ENSG00000125462.21	R0	Q1	match	chr1	156404385	156404505	120	chr2	191303641	191303793	152	1	0.0507	0	120	20	140	0.0507
U_ENSG00000125462.21	R0	Q10	match	chr1	156404385	156404505	120	chr2	191309593	191309777	184	1	0.0607	24	120	88	184	0.0607
U_ENSG00000125462.21	R2	Q16	match	chr1	156416768	156416864	96	chr2	191324675	191324795	120	1	0.1020	0	96	16	112	0.1020
U_ENSG00000125462.21	R2	Q18	match	chr1	156416768	156416864	96	chr2	191327603	191327707	104	1	0.1010	0	96	4	100	0.1010
U_ENSG00000125462.21	R4	Q20	match	chr1	156429375	156429493	118	chr2	191339481	191339601	120	1	0.1239	16	112	0	96	0.1239
U_ENSG00000125462.21	R5	Q21	match	chr1	156455627	156455705	78	chr2	191339609	191339777	168	1	0.0446	0	78	72	168	0.0446
U_ENSG00000131007.10	R0	Q0	match	chrY	18587419	18587507	88	chr7	27286928	27287016	88	1	0.0000	0	88	0	88	0.0000
U_ENSG00000131007.10	R0	Q2	match	chrY	18587419	18587507	88	chr7	27290256	27290360	104	1	0.1251	0	88	0	96	0.1251
U_ENSG00000152931.10	R3	Q3	match	chr5	60547813	60547933	120	chr3	24386094	24386182	88	1	0.1444	16	112	0	88	0.1444
U_ENSG00000157306.15	R0	Q2	match	chr14	23513348	23513490	142	chr1	172938625	172938761	136	1	0.1488	24	120	36	132	0.1488
U_ENSG00000157306.15	R11	Q12	match	chr14	23559303	23559439	136	chr1	172981937	172982233	296	1	0.0522	8	136	168	296	0.0522
U_ENSG00000157306.15	R13	Q13	match	chr14	23559831	23560111	280	chr1	172982337	172982585	248	1	0.0671	0	196	28	236	0.0671
U_ENSG00000157306.15	R2	Q4	match	chr14	23513978	23514178	200	chr1	172939009	172939689	680	1	0.0618	0	200	432	644	0.0618
