gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R0	Q5	match	chr11	2147317	2147811	494	chrD1	115955043	115955195	152	1	0.0507	124	276	0	148	0.0507
U_ENSG00000099869.8	R2	Q3	match	chr11	2148203	2148643	440	chrD1	115953731	115954027	296	1	0.0888	0	292	16	296	0.0888
U_ENSG00000103472.11	R1	Q11	match	chr16	29139586	29139799	213	chrE2	62352145	62352329	184	1	0.0790	24	188	12	180	0.0790
U_ENSG00000103472.11	R1	Q5	match	chr16	29139586	29139799	213	chrE2	62348593	62348777	184	1	0.0704	4	112	76	184	0.0704
U_ENSG00000103472.11	R2	Q13	match	chr16	29251478	29251689	211	chrE2	62352897	62353049	152	1	0.0972	48	144	24	120	0.0972
U_ENSG00000103472.11	R3	Q19	match	chr16	29312349	29312583	234	chrE2	62364383	62364551	168	1	0.0067	48	224	0	168	0.0067
U_ENSG00000103472.11	R4	Q24	match	chr16	29326346	29326483	137	chrE2	62377603	62378043	440	1	0.0711	0	132	172	316	0.0711
U_ENSG00000105501.13	R0	Q7	match	chr19	51630100	51630216	116	chrE2	6952411	6952515	104	1	0.1365	16	112	8	104	0.1365
U_ENSG00000105501.13	R1	Q6	match	chr19	51630298	51630430	132	chrE2	6952011	6952323	312	1	0.0235	0	132	0	136	0.0235
U_ENSG00000122043.13	R0	Q1	match	chr13	29947602	29947771	169	chrA1	9279596	9279780	184	1	0.0613	0	168	36	184	0.0613
U_ENSG00000122043.13	R0	Q2	match	chr13	29947602	29947771	169	chrA1	9279804	9279908	104	1	0.0673	40	140	0	100	0.0673
U_ENSG00000122043.13	R1	Q4	match	chr13	29963239	29963374	135	chrA1	9296524	9296660	136	1	0.0455	0	124	20	136	0.0455
U_ENSG00000122548.6	R1	Q0	match	chr7	26534756	26534940	184	chrA2	120024006	120024094	88	1	0.1089	8	104	0	88	0.1089
U_ENSG00000124915.11	R0	Q2	match	chr11	61746492	61746805	313	chrD1	107760497	107761001	504	1	0.0734	0	240	36	284	0.0734
U_ENSG00000124915.11	R1	Q4	match	chr11	61747384	61747463	79	chrD1	107761329	107761513	184	1	0.1480	0	79	88	184	0.1480
U_ENSG00000124915.11	R2	Q6	match	chr11	61748542	61749368	826	chrD1	107762001	107762665	664	1	0.0954	24	636	140	664	0.0954
U_ENSG00000124915.11	R2	Q7	match	chr11	61748542	61749368	826	chrD1	107762881	107763113	232	1	0.0866	640	824	0	204	0.0866
U_ENSG00000124915.11	R3	Q13	match	chr11	61757082	61757211	129	chrD1	107770811	107770963	152	1	0.0709	0	128	4	128	0.0709
U_ENSG00000124915.11	R4	Q15	match	chr11	61757526	61757677	151	chrD1	107771323	107771635	312	1	0.0494	8	128	168	284	0.0494
U_ENSG00000125462.21	R0	Q17	match	chr1	156404385	156404505	120	chrF1	69563905	69564425	520	1	0.0944	0	120	172	300	0.0944
U_ENSG00000125462.21	R1	Q14	match	chr1	156407841	156407956	115	chrF1	69560821	69561197	376	1	0.0519	4	112	0	108	0.0519
U_ENSG00000125462.21	R2	Q12	match	chr1	156416768	156416864	96	chrF1	69553266	69553386	120	1	0.1323	0	96	0	96	0.1323
U_ENSG00000125462.21	R3	Q9	match	chr1	156417911	156418034	123	chrF1	69552079	69552455	376	1	0.0981	0	100	272	372	0.0981
U_ENSG00000125462.21	R4	Q4	match	chr1	156429375	156429493	118	chrF1	69541797	69541965	168	1	0.1398	4	100	40	136	0.1398
U_ENSG00000125514.10	R0	Q1	match	chr20	63034493	63034581	88	chrA3	1316469	1316605	136	1	0.1294	0	88	16	112	0.1294
