gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R1	Q2	match	chr11	2147851	2148179	328	chr29	49404471	49405807	1336	1	0.0665	152	328	476	652	0.0665
U_ENSG00000099869.8	R2	Q1	match	chr11	2148203	2148643	440	chr29	49404183	49404335	152	1	0.0858	276	424	0	152	0.0858
U_ENSG00000103472.11	R1	Q10	match	chr16	29139586	29139799	213	chr18	13460503	13460783	280	1	0.0996	52	212	4	168	0.0996
U_ENSG00000103472.11	R1	Q12	match	chr16	29139586	29139799	213	chr18	13461095	13461247	152	1	0.0780	52	188	0	136	0.0780
U_ENSG00000103472.11	R2	Q17	match	chr16	29251478	29251689	211	chr18	13557151	13557415	264	1	0.0949	48	172	140	264	0.0949
U_ENSG00000105501.13	R0	Q2	match	chr19	51630100	51630216	116	chr18	57640985	57641265	280	1	0.1004	0	116	164	280	0.1004
U_ENSG00000105501.13	R1	Q3	match	chr19	51630298	51630430	132	chr18	57641289	57641585	296	1	0.0331	0	120	0	132	0.0331
U_ENSG00000117242.7	R1	Q14	match	chr1	20642998	20643102	104	chr2	131994197	131994493	296	1	0.1434	0	96	184	280	0.1434
U_ENSG00000117242.7	R10	Q1	match	chr1	20651677	20651765	88	chr2	131985987	131986075	88	1	0.1229	0	88	0	88	0.1229
U_ENSG00000117242.7	R2	Q11	match	chr1	20645584	20645684	100	chr2	131992786	131993018	232	1	0.0139	0	100	108	208	0.0139
U_ENSG00000117242.7	R3	Q9	match	chr1	20648333	20648501	168	chr2	131989347	131989467	120	1	0.0750	52	168	0	108	0.0750
U_ENSG00000117242.7	R4	Q8	match	chr1	20648749	20649077	328	chr2	131988835	131988955	120	1	0.0131	0	112	8	120	0.0131
U_ENSG00000117242.7	R5	Q7	match	chr1	20649117	20649253	136	chr2	131988707	131988827	120	1	0.0525	8	132	0	120	0.0525
U_ENSG00000117242.7	R7	Q5	match	chr1	20650189	20650293	104	chr2	131988035	131988283	248	1	0.1215	4	104	124	224	0.1215
U_ENSG00000117242.7	R8	Q4	match	chr1	20650605	20650741	136	chr2	131987427	131987547	120	1	0.1069	12	128	0	120	0.1069
