core_id	gene_bare	gene_name	source_gene_id	ref_chrom	ref_start	ref_end	ref_strand	reference_core_length	mean_reference_island_length	overlap_category	coding_partners	n_species_accepted	n_species_d_le_0.05	n_species_d_le_0.04	n_species_d_le_0.03	n_species_d_le_0.02	n_species_d_le_0.01	mean_dist	median_dist	max_dist	mean_aligned_length	median_aligned_length	species_present
ENSG00000117242_core_3	ENSG00000117242	PINK1-AS	U_ENSG00000117242.7	chr1	20648909	20649197	-	288	288.0	antisense+sense	ENSG00000158828,ENSG00000244038	19	16	16	16	15	2	0.0233	0.0132	0.092	237.7	235.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000124915_core_1	ENSG00000124915	MYRF-AS1	U_ENSG00000124915.11	chr11	61746653	61746901	-	248	248.0	antisense	ENSG00000124920,ENSG00000134780	17	11	10	10	9	0	0.037	0.0183	0.0949	176.2	202.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,rheMac10,rn7
ENSG00000157306_core_2	ENSG00000157306		U_ENSG00000157306.15	chr14	23513348	23513626	+	278	278.0	unknown	.	17	17	17	17	14	2	0.0167	0.017	0.027	183.9	164.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000157306_core_4	ENSG00000157306		U_ENSG00000157306.15	chr14	23514338	23514553	+	215	215.0	unknown	.	17	15	14	12	9	0	0.0276	0.0175	0.077	179.5	191.0	HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000157306_core_9	ENSG00000157306		U_ENSG00000157306.15	chr14	23558694	23558911	+	217	217.0	unknown	.	17	14	14	12	6	0	0.0313	0.0222	0.0795	172.2	188.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,monDom5,rheMac10,rn7,susScr11
ENSG00000157306_core_10	ENSG00000157306		U_ENSG00000157306.15	chr14	23559023	23559551	+	528	528.0	unknown	.	19	19	19	18	18	12	0.0111	0.0091	0.0375	325.4	307.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000174407_core_2	ENSG00000174407	MIR1-1HG	U_ENSG00000174407.16	chr20	62570512	62570720	+	208	208.0	intergenic	.	17	6	1	1	1	0	0.0592	0.0565	0.0978	178.6	180.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000176753_core_2	ENSG00000176753	PAK6-AS1	U_ENSG00000176753.5	chr15	40252161	40252649	-	488	488.0	antisense	ENSG00000137843	18	17	17	16	13	5	0.0197	0.0168	0.0678	321.7	353.0	HLbalEde1,HLcamDro2,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000176912_core_1	ENSG00000176912		U_ENSG00000176912.8	chr18	657993	658269	-	276	276.0	antisense	ENSG00000079101,ENSG00000176890	18	11	10	10	5	0	0.0428	0.0256	0.0971	203.4	216.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000177112_core_1	ENSG00000177112	IRAG1-AS1	U_ENSG00000177112.10	chr11	10541301	10541469	+	168	168.0	antisense	ENSG00000072952,ENSG00000133800	17	12	8	2	1	0	0.043	0.0405	0.0666	170.2	171.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000177369_core_4	ENSG00000177369	FLJ40194	U_ENSG00000177369.12	chr17	49317590	49317727	+	137	137.0	antisense	ENSG00000198740	19	19	19	18	13	0	0.0203	0.0191	0.0309	135.4	137.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000177640_core_1	ENSG00000177640	CASC2	U_ENSG00000177640.17	chr10	118046863	118047103	+	240	240.0	antisense	ENSG00000107560	18	16	16	14	11	1	0.0257	0.0158	0.0784	216.3	244.5	HLbalEde1,HLcamDro2,HLdidVir1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000178107_core_1	ENSG00000178107		U_ENSG00000178107.3	chr14	21103809	21104002	+	193	193.0	antisense	ENSG00000165804	17	14	14	10	3	0	0.032	0.025	0.067	173.1	192.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,rn7,susScr11
ENSG00000178412_core_1	ENSG00000178412		U_ENSG00000178412.4	chr18	79679456	79679744	-	288	288.0	near_coding_5kb	.	17	14	14	7	1	0	0.035	0.0328	0.0606	280.7	287.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,felCat9,mm39,monDom5,rheMac10,rn7,susScr11
ENSG00000179066_core_2	ENSG00000179066		U_ENSG00000179066.8	chr19	35106242	35106554	+	312	312.0	sense_overlapping	ENSG00000285526	17	16	15	15	14	3	0.0203	0.0137	0.0927	274.8	302.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,dasNov3,equCab3,eriEur2,felCat9,mm39,monDom5,rheMac10,rn7
ENSG00000180953_core_2	ENSG00000180953	ST20	U_ENSG00000180953.11	chr15	79923492	79923702	-	210	210.0	sense_overlapping	ENSG00000259332	18	15	15	15	14	0	0.0243	0.0166	0.0721	205.8	210.5	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLnotEug3,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,felCat9,mm39,rheMac10,rn7,susScr11
ENSG00000182057_core_1	ENSG00000182057		U_ENSG00000182057.6	chr22	42269903	42270025	+	122	122.0	antisense	ENSG00000100207	17	12	7	4	1	0	0.0445	0.042	0.0753	120.9	121.0	HLbalEde1,HLcamDro2,HLdidVir1,HLeleMax1,HLmanJav2,HLoryCun3,HLpteVam2,bosTau9,canFam5,dasNov3,equCab3,eriEur2,mm39,monDom5,rheMac10,rn7,susScr11
