chrom	start	end	strand	mmd_score	biotype	gene_id	gene_name	transcript_id	chain_id
chr2	267857062	267857125	-	0.152529	miRNA	ENSG00000266776.1		U_ENSG00000266776.1	1
chr4	187537187	187537243	+	0.169712	miRNA	ENSG00000283880.1		U_ENSG00000283880.1	2
chr5	130751914	130751988	-	0.201765	miRNA	ENSG00000264274.1		U_ENSG00000264274.1	3
chr1	345561154	345561216	-	0.183502	miRNA	ENSG00000276622.1		U_ENSG00000276622.1	6
chr1	653667624	653667699	-	0.168598	misc_RNA	ENSG00000276229.1		U_ENSG00000276229.1	7
chr4	164375821	164375886	+	0.136854	miRNA	ENSG00000275141.1		U_ENSG00000275141.1	2
chr5	126920194	126920259	-	0.000000	snoRNA	ENSG00000208797.1		U_ENSG00000208797.1	3
chr2	112668301	112668365	+	0.072651	miRNA	ENSG00000278465.1		U_ENSG00000278465.1	4
chr2	120131388	120131462	+	0.351271	miRNA	ENSG00000264358.1		U_ENSG00000264358.1	4
chr2	130471485	130471570	-	0.448250	miRNA	ENSG00000207624.1		U_ENSG00000207624.1	4
chr2	105680896	105680972	+	0.173947	miRNA	ENSG00000277681.1		U_ENSG00000277681.1	4
chr2	267616832	267616909	-	0.104879	snoRNA	ENSG00000201785.1		U_ENSG00000201785.1	1
chr2	267620826	267620907	-	0.206417	snoRNA	ENSG00000265236.1		U_ENSG00000265236.1	1
chr2	322643028	322643100	-	0.000000	miRNA	ENSG00000199094.3		U_ENSG00000199094.3	1
chr4	144784342	144784421	+	0.037257	misc_RNA	ENSG00000277444.1		U_ENSG00000277444.1	2
chr5	126921944	126922016	-	0.000000	snoRNA	ENSG00000201264.1		U_ENSG00000201264.1	3
chr5	115946599	115946687	-	0.224601	miRNA	ENSG00000283379.1		U_ENSG00000283379.1	3
chr2	57497505	57497561	+	0.000000	miRNA	ENSG00000283936.1		U_ENSG00000283936.1	4
chr2	81824054	81824158	-	0.290365	snRNA	ENSG00000202025.1		U_ENSG00000202025.1	4
chr8	189667855	189667933	-	0.000000	miRNA	ENSG00000199158.1		U_ENSG00000199158.1	5
chr2	270689927	270690022	+	0.273135	misc_RNA	ENSG00000202441.2		U_ENSG00000202441.2	1
chr2	287662918	287662997	+	0.302695	miRNA	ENSG00000276770.1		U_ENSG00000276770.1	1
chr2	407250665	407250738	+	0.000000	snoRNA	ENSG00000206754.1		U_ENSG00000206754.1	1
chr4	188986154	188986229	+	0.065196	miRNA	ENSG00000284252.1		U_ENSG00000284252.1	2
