gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R0	Q7	match	chr11	2147317	2147811	494	chr2	1486338	1487114	776	1	0.0632	0	460	296	740	0.0632
U_ENSG00000099869.8	R1	Q8	match	chr11	2147851	2148179	328	chr2	1487170	1487450	280	1	0.0714	16	328	0	280	0.0714
U_ENSG00000099869.8	R2	Q10	match	chr11	2148203	2148643	440	chr2	1487906	1488490	584	1	0.0846	20	276	300	584	0.0846
U_ENSG00000099869.8	R2	Q9	match	chr11	2148203	2148643	440	chr2	1487458	1487770	312	1	0.0774	0	312	4	300	0.0774
U_ENSG00000103472.11	R1	Q35	match	chr16	29139586	29139799	213	chr6	1455519	1455655	136	1	0.0636	16	124	12	116	0.0636
U_ENSG00000103472.11	R2	Q19	match	chr16	29251478	29251689	211	chr6	1449167	1449287	120	1	0.0203	100	208	0	108	0.0203
U_ENSG00000103472.11	R3	Q16	match	chr16	29312349	29312583	234	chr6	1446280	1446704	424	1	0.0086	0	224	188	424	0.0086
U_ENSG00000103472.11	R4	Q12	match	chr16	29326346	29326483	137	chr6	1437877	1438717	840	1	0.0627	0	136	208	352	0.0627
U_ENSG00000105501.13	R1	Q4	match	chr19	51630298	51630430	132	chr6	58364939	58365491	552	1	0.0517	0	132	144	288	0.0517
U_ENSG00000117242.7	R10	Q15	match	chr1	20651677	20651765	88	chr6	78884950	78885070	120	1	0.1002	0	88	8	104	0.1002
U_ENSG00000117242.7	R2	Q5	match	chr1	20645584	20645684	100	chr6	78880022	78880238	216	1	0.0377	0	100	64	164	0.0377
U_ENSG00000117242.7	R3	Q6	match	chr1	20648333	20648501	168	chr6	78881158	78881390	232	1	0.1253	64	168	92	196	0.1253
U_ENSG00000117242.7	R4	Q7	match	chr1	20648749	20649077	328	chr6	78881446	78881582	136	1	0.0656	4	136	4	136	0.0656
U_ENSG00000117242.7	R4	Q8	match	chr1	20648749	20649077	328	chr6	78881766	78881854	88	1	0.0000	8	104	0	88	0.0000
U_ENSG00000117242.7	R6	Q9	match	chr1	20649469	20649797	328	chr6	78882310	78882462	152	1	0.0989	40	140	12	112	0.0989
U_ENSG00000117242.7	R7	Q10	match	chr1	20650189	20650293	104	chr6	78882710	78882990	280	1	0.1198	4	104	0	100	0.1198
U_ENSG00000117242.7	R8	Q11	match	chr1	20650605	20650741	136	chr6	78883094	78883198	104	1	0.1016	32	136	0	104	0.1016
U_ENSG00000117242.7	R9	Q14	match	chr1	20650861	20651045	184	chr6	78884390	78884542	152	1	0.0758	0	148	0	152	0.0758
U_ENSG00000122043.13	R0	Q1	match	chr13	29947602	29947771	169	chr11	6830470	6830606	136	1	0.0850	28	168	0	128	0.0850
U_ENSG00000122548.6	R1	Q4	match	chr7	26534756	26534940	184	chr18	45905174	45905310	136	1	0.1106	8	104	4	100	0.1106
U_ENSG00000122548.6	R2	Q2	match	chr7	26535268	26535388	120	chr18	45904470	45904558	88	1	0.0000	8	104	0	88	0.0000
U_ENSG00000124915.11	R0	Q12	match	chr11	61746492	61746805	313	chr2	9802146	9802634	488	1	0.0871	0	216	28	276	0.0871
U_ENSG00000124915.11	R1	Q10	match	chr11	61747384	61747463	79	chr2	9801090	9801770	680	1	0.1188	0	79	424	520	0.1188
U_ENSG00000124915.11	R2	Q8	match	chr11	61748542	61749368	826	chr2	9800322	9800778	456	1	0.0880	308	800	0	456	0.0880
U_ENSG00000124915.11	R3	Q3	match	chr11	61757082	61757211	129	chr2	9791292	9791732	440	1	0.1421	8	104	0	96	0.1421
U_ENSG00000124915.11	R4	Q1	match	chr11	61757526	61757677	151	chr2	9790476	9790708	232	1	0.0601	0	148	40	228	0.0601
U_ENSG00000125462.21	R0	Q18	match	chr1	156404385	156404505	120	chr4	93675880	93676272	392	1	0.0361	0	120	0	124	0.0361
U_ENSG00000125462.21	R1	Q14	match	chr1	156407841	156407956	115	chr4	93672740	93673020	280	1	0.0893	0	112	44	156	0.0893
U_ENSG00000125462.21	R2	Q10	match	chr1	156416768	156416864	96	chr4	93663744	93663896	152	1	0.1428	0	96	0	96	0.1428
U_ENSG00000125462.21	R3	Q9	match	chr1	156417911	156418034	123	chr4	93662352	93662424	72	1	0.0950	24	120	0	72	0.0950
U_ENSG00000125462.21	R4	Q5	match	chr1	156429375	156429493	118	chr4	93651651	93651755	104	1	0.0000	8	116	0	104	0.0000
U_ENSG00000128254.17	R0	Q2	match	chr22	31927138	31927306	168	chr14	48532383	48532631	248	1	0.0124	0	164	88	248	0.0124
U_ENSG00000130600.23	R0	Q1	match	chr11	1995274	1995442	168	chr2	1381920	1382216	296	1	0.0759	0	164	56	228	0.0759
U_ENSG00000130600.23	R1	Q4	match	chr11	1996010	1996146	136	chr2	1382672	1382792	120	1	0.0718	0	120	4	120	0.0718
U_ENSG00000130600.23	R2	Q5	match	chr11	1996234	1996354	120	chr2	1382880	1383240	360	1	0.0501	0	120	60	188	0.0501
U_ENSG00000130600.23	R3	Q6	match	chr11	1996506	1997810	1304	chr2	1383264	1383640	376	1	0.0695	716	1072	0	376	0.0695
U_ENSG00000130600.23	R3	Q8	match	chr11	1996506	1997810	1304	chr2	1384496	1384584	88	1	0.0293	1208	1304	0	88	0.0293
U_ENSG00000130600.23	R4	Q15	match	chr11	2001229	2001637	408	chr2	1386239	1386503	264	1	0.0939	0	240	0	264	0.0939
U_ENSG00000131007.10	R0	Q3	match	chrY	18587419	18587507	88	chrY	10440005	10440285	280	1	0.0447	0	88	92	188	0.0447
U_ENSG00000132204.15	R0	Q5	match	chr18	1269694	1269814	120	chr6	105132273	105132393	120	1	0.0978	0	108	12	120	0.0978
U_ENSG00000136315.7	R0	Q1	match	chr14	20919672	20919776	104	chr7	78179981	78180293	312	1	0.1334	4	104	88	188	0.1334
U_ENSG00000146666.5	R0	Q6	match	chr7	47763462	47763578	116	chr18	48868723	48868955	232	1	0.0293	0	116	76	208	0.0293
U_ENSG00000146666.5	R1	Q2	match	chr7	47765920	47766040	120	chr18	48867348	48867548	200	1	0.0855	4	120	40	156	0.0855
U_ENSG00000151303.13	R0	Q1	match	chr10	86983156	86983228	72	chr11	3406233	3406433	200	1	0.1030	0	72	24	120	0.1030
U_ENSG00000151303.13	R3	Q10	match	chr10	87009352	87009472	120	chr15	110900517	110900653	136	1	0.1064	0	120	16	136	0.1064
U_ENSG00000151303.13	R3	Q9	match	chr10	87009352	87009472	120	chr15	110900069	110900317	248	1	0.0447	0	120	72	216	0.0447
U_ENSG00000152931.10	R3	Q0	match	chr5	60547813	60547933	120	chr16	39433193	39433345	152	1	0.1115	0	120	24	144	0.1115
U_ENSG00000153363.16	R1	Q7	match	chr1	211433093	211433389	296	chr9	131730641	131730809	168	1	0.1493	4	100	4	100	0.1493
U_ENSG00000153363.16	R2	Q5	match	chr1	211433701	211433837	136	chr9	131727665	131727849	184	1	0.1030	12	108	44	140	0.1030
U_ENSG00000153363.16	R4	Q1	match	chr1	211434309	211434413	104	chr9	131725665	131725769	104	1	0.0937	0	96	8	104	0.0937
U_ENSG00000157306.15	R1	Q17	match	chr14	23513530	23513890	360	chr7	75593603	75594155	552	1	0.0382	0	308	248	552	0.0382
U_ENSG00000157306.15	R12	Q4	match	chr14	23559575	23559647	72	chr7	75549586	75549866	280	1	0.0523	0	72	88	184	0.0523
U_ENSG00000157306.15	R13	Q2	match	chr14	23559831	23560111	280	chr7	75548978	75549194	216	1	0.0476	16	248	0	216	0.0476
U_ENSG00000157306.15	R2	Q16	match	chr14	23513978	23514178	200	chr7	75593283	75593547	264	1	0.0873	0	164	68	252	0.0873
U_ENSG00000157306.15	R4	Q14	match	chr14	23514298	23514553	255	chr7	75592851	75593131	280	1	0.0589	0	236	0	276	0.0589
U_ENSG00000157306.15	R5	Q11	match	chr14	23542158	23542255	97	chr7	75565158	75565278	120	1	0.0900	0	96	16	112	0.0900
U_ENSG00000157306.15	R7	Q8	match	chr14	23543557	23543693	136	chr7	75564294	75564398	104	1	0.1249	0	100	4	104	0.1249
U_ENSG00000157306.15	R9	Q5	match	chr14	23558759	23558991	232	chr7	75550066	75550586	520	1	0.0568	0	212	312	520	0.0568
U_ENSG00000162888.4	R1	Q3	match	chr1	206491452	206491572	120	chr9	67142275	67142443	168	1	0.0659	0	112	44	168	0.0659
U_ENSG00000162888.4	R1	Q4	match	chr1	206491452	206491572	120	chr9	67142483	67142683	200	1	0.0635	0	120	12	124	0.0635
U_ENSG00000162888.4	R3	Q5	match	chr1	206491916	206492052	136	chr9	67142723	67142843	120	1	0.0360	8	128	0	120	0.0360
U_ENSG00000162888.4	R6	Q7	match	chr1	206492604	206492980	376	chr9	67143411	67144555	1144	1	0.0581	0	340	808	1144	0.0581
U_ENSG00000162888.4	R7	Q10	match	chr1	206497617	206497728	111	chr9	67148458	67148738	280	1	0.0743	4	108	0	112	0.0743
U_ENSG00000162888.4	R7	Q9	match	chr1	206497617	206497728	111	chr9	67148250	67148418	168	1	0.0895	4	108	36	140	0.0895
U_ENSG00000163597.18	R0	Q9	match	chr17	76558088	76558208	120	chr12	4960027	4960227	200	1	0.1129	12	120	72	180	0.1129
