gene_id	ref_island	query_island	type	ref_chrom	ref_start	ref_end	ref_len	query_chrom	query_start	query_end	query_len	n_chains	diag_mmd	chain1_ref_from	chain1_ref_to	chain1_q_from	chain1_q_to	chain1_mmd
U_ENSG00000099869.8	R0	Q6	match	chr11	2147317	2147811	494	chr12	34454367	34454983	616	1	0.0602	0	492	56	600	0.0602
U_ENSG00000099869.8	R1	Q7	match	chr11	2147851	2148179	328	chr12	34455007	34455671	664	1	0.0691	52	328	32	340	0.0691
U_ENSG00000099869.8	R2	Q8	match	chr11	2148203	2148643	440	chr12	34455807	34455975	168	1	0.0927	276	440	4	160	0.0927
U_ENSG00000103472.11	R0	Q14	match	chr16	29139458	29139546	88	chr3	35364668	35365204	536	1	0.0559	0	88	352	448	0.0559
U_ENSG00000103472.11	R1	Q15	match	chr16	29139586	29139799	213	chr3	35365292	35365412	120	1	0.1148	12	120	8	116	0.1148
U_ENSG00000103472.11	R2	Q17	match	chr16	29251478	29251689	211	chr3	35477750	35477886	136	1	0.1082	4	152	0	136	0.1082
U_ENSG00000103472.11	R2	Q18	match	chr16	29251478	29251689	211	chr3	35478038	35478174	136	1	0.0813	100	208	16	128	0.0813
U_ENSG00000105501.13	R0	Q23	match	chr19	51630100	51630216	116	chr10	21451180	21451588	408	1	0.0893	8	116	108	220	0.0893
U_ENSG00000105501.13	R1	Q6	match	chr19	51630298	51630430	132	chr10	21354190	21354902	712	1	0.0334	0	116	592	708	0.0334
U_ENSG00000117242.7	R10	Q2	match	chr1	20651677	20651765	88	chr2	33787998	33788102	104	1	0.0000	0	88	4	100	0.0000
U_ENSG00000117242.7	R3	Q11	match	chr1	20648333	20648501	168	chr2	33791806	33792038	232	1	0.0617	0	168	32	208	0.0617
U_ENSG00000117242.7	R5	Q10	match	chr1	20649117	20649253	136	chr2	33791262	33791542	280	1	0.0470	0	136	124	268	0.0470
U_ENSG00000117242.7	R7	Q7	match	chr1	20650189	20650293	104	chr2	33790078	33790374	296	1	0.0168	0	104	104	212	0.0168
U_ENSG00000117242.7	R8	Q6	match	chr1	20650605	20650741	136	chr2	33789662	33789798	136	1	0.0904	0	132	0	136	0.0904
U_ENSG00000117242.7	R9	Q4	match	chr1	20650861	20651045	184	chr2	33788718	33788982	264	1	0.0491	0	184	24	244	0.0491
U_ENSG00000124835.2	R0	Q0	match	chr2	237049804	237050036	232	chr6	23166953	23167105	152	1	0.0423	16	172	0	152	0.0423
U_ENSG00000124835.2	R2	Q3	match	chr2	237055426	237055594	168	chr6	23173014	23173150	136	1	0.0976	36	168	0	132	0.0976
U_ENSG00000124915.11	R0	Q1	match	chr11	61746492	61746805	313	chr12	25248645	25249037	392	1	0.0580	0	184	192	380	0.0580
U_ENSG00000124915.11	R0	Q2	match	chr11	61746492	61746805	313	chr12	25249045	25249549	504	1	0.0895	0	312	12	356	0.0895
U_ENSG00000124915.11	R1	Q3	match	chr11	61747384	61747463	79	chr12	25249797	25250653	856	1	0.0801	0	79	740	836	0.0801
U_ENSG00000124915.11	R2	Q5	match	chr11	61748542	61749368	826	chr12	25251269	25251661	392	1	0.0911	96	520	8	392	0.0911
U_ENSG00000124915.11	R3	Q11	match	chr11	61757082	61757211	129	chr12	25258978	25259162	184	1	0.0725	0	120	24	140	0.0725
U_ENSG00000124915.11	R4	Q13	match	chr11	61757526	61757677	151	chr12	25259474	25259786	312	1	0.0765	0	148	92	268	0.0765
U_ENSG00000124915.11	R4	Q14	match	chr11	61757526	61757677	151	chr12	25259874	25260298	424	1	0.0898	0	148	156	328	0.0898
U_ENSG00000125514.10	R0	Q1	match	chr20	63034493	63034581	88	chr22	49839670	49839822	152	1	0.0974	0	88	24	120	0.0974
U_ENSG00000125514.10	R0	Q2	match	chr20	63034493	63034581	88	chr22	49839830	49839950	120	1	0.0998	0	88	12	108	0.0998
